title,genre,director,year,duration,gross,budget,cast_facebook_likes,votes,reviews,rating
Friday the 13th Part 2,Horror,Steve Miner,1981,87,19100000,1250000,707,39690,636,6.1
Roar,Adventure,Noel Marshall,1981,102,2000000,17000000,1262,1275,77,6.4
The Howling,Horror,Joe Dante,1981,91,17986000,1000000,4438,22773,356,6.6
Dragonslayer,Action,Matthew Robbins,1981,108,6000000,18000000,1263,10832,162,6.7
Stripes,Action,Ivan Reitman,1981,117,85300000,10000000,27378,48629,186,6.9
Raiders of the Lost Ark,Action,Steven Spielberg,1981,115,242374454,18000000,12906,661017,1005,8.5
Megaforce,Action,Hal Needham,1982,99,5333658,20000000,1356,2541,94,3.5
Halloween III: Season of the Witch,Horror,Tommy Lee Wallace,1982,98,14400000,2500000,684,28589,694,4.6
Friday the 13th Part III,Horror,Steve Miner,1982,91,36200000,4000000,174,31952,607,5.7
The Best Little Whorehouse in Texas,Comedy,Colin Higgins,1982,114,69700000,35000000,3688,7748,59,5.8
Firefox,Action,Clint Eastwood,1982,136,46700000,21000000,16805,19832,141,5.9
Conan the Barbarian,Adventure,John Milius,1982,129,37567440,20000000,2024,113065,503,6.9
Conan the Barbarian,Adventure,John Milius,1982,129,37567440,20000000,2024,113068,503,6.9
Diner,Comedy,Barry Levinson,1982,110,14100000,5000000,2943,14995,129,7.2
Tootsie,Comedy,Sydney Pollack,1982,116,177200000,22000000,14701,77366,288,7.4
Poltergeist,Fantasy,Tobe Hooper,1982,120,76600000,10700000,3876,105446,544,7.4
Poltergeist,Fantasy,Tobe Hooper,1982,120,76600000,10700000,3876,105448,544,7.4
Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,116,78900000,11000000,16539,91414,507,7.7
The Verdict,Drama,Sidney Lumet,1982,129,54000000,16000000,2330,26310,233,7.8
E.T. the Extra-Terrestrial,Family,Steven Spielberg,1982,120,434949459,10500000,2811,281842,730,7.9
The Thing,Horror,John Carpenter,1982,109,13782838,15000000,1757,258078,1208,8.2
Blade Runner,Sci-Fi,Ridley Scott,1982,117,27000000,28000000,13877,461609,1470,8.2
Flashdance,Drama,Adrian Lyne,1983,95,94900000,4000000,791,35172,179,6.1
Lone Wolf McQuade,Action,Steve Carver,1983,107,12200000,5000000,2383,7973,94,6.3
Twilight Zone: The Movie,Fantasy,Joe Dante,1983,101,29500000,10000000,1954,25613,199,6.5
WarGames,Sci-Fi,John Badham,1983,114,79568000,12000000,4537,71842,236,7.1
The Outsiders,Crime,Francis Ford Coppola,1983,114,25600000,10000000,12097,57363,368,7.2
National Lampoon's Vacation,Adventure,Harold Ramis,1983,98,61400000,15000000,3617,71183,238,7.4
The Right Stuff,Adventure,Philip Kaufman,1983,193,21500000,27000000,6341,45271,250,7.9
Scarface,Crime,Brian De Palma,1983,142,44700000,25000000,16464,537442,998,8.3
Star Wars: Episode VI - Return of the Jedi,Action,Richard Marquand,1983,134,309125409,32500000,13649,681857,844,8.4
Conan the Destroyer,Action,Richard Fleischer,1984,103,26400000,18000000,2481,62009,186,5.8
Friday the 13th: The Final Chapter,Horror,Joseph Zito,1984,97,32600000,1800000,467,29488,492,5.9
Firestarter,Action,Mark L. Lester,1984,114,15100000,15000000,3444,22797,141,6
Splash,Comedy,Ron Howard,1984,111,69800000,8000000,15361,54723,142,6.2
The Cotton Club,Crime,Francis Ford Coppola,1984,123,25900000,58000000,18793,12771,120,6.5
Footloose,Drama,Herbert Ross,1984,107,80000000,8200000,1962,51459,173,6.5
Star Trek III: The Search for Spock,Action,Leonard Nimoy,1984,105,76400000,17000000,14762,58743,302,6.6
Dune,Action,David Lynch,1984,177,27400000,40000000,2449,97087,713,6.6
Police Academy,Comedy,Hugh Wilson,1984,96,81200000,4500000,3113,87739,178,6.7
The Karate Kid,Action,John G. Avildsen,1984,126,90800000,8000000,2004,126907,316,7.2
The Karate Kid,Action,John G. Avildsen,1984,126,90800000,8000000,2004,126916,316,7.2
Gremlins,Comedy,Joe Dante,1984,106,148170000,11000000,2053,142293,428,7.2
Beverly Hills Cop,Action,Martin Brest,1984,105,234760500,14000000,3464,126464,269,7.3
A Nightmare on Elm Street,Horror,Wes Craven,1984,101,26505000,1800000,42918,149285,924,7.5
A Nightmare on Elm Street,Horror,Wes Craven,1984,101,26505000,1800000,42918,149293,924,7.5
Indiana Jones and the Temple of Doom,Action,Steven Spielberg,1984,118,179870271,28000000,11898,329969,672,7.6
Amadeus,Biography,Milos Forman,1984,180,51600000,18000000,3076,270790,683,8.3
Friday the 13th: A New Beginning,Horror,Danny Steinmann,1985,92,21300000,2200000,170,22521,502,4.7
A Nightmare on Elm Street 2: Freddy's Revenge,Fantasy,Jack Sholder,1985,87,30000000,2200000,1472,43485,465,5.4
Rambo: First Blood Part II,Action,George P. Cosmatos,1985,96,150415432,44000000,15662,117606,313,6.4
Young Sherlock Holmes,Adventure,Barry Levinson,1985,109,4250320,18000000,605,14870,150,6.8
The Last Dragon,Action,Michael Schultz,1985,109,33000000,10000000,3394,9424,164,6.9
Silverado,Action,Lawrence Kasdan,1985,133,33200000,26000000,1154,28247,195,7.2
Out of Africa,Biography,Sydney Pollack,1985,161,87100000,31000000,12518,52339,266,7.2
Pale Rider,Western,Clint Eastwood,1985,115,41400000,6900000,17209,39451,176,7.3
Witness,Crime,Peter Weir,1985,112,65500000,12000000,22479,66966,258,7.4
The Color Purple,Drama,Steven Spielberg,1985,154,94175854,15000000,2592,60988,269,7.8
Back to the Future,Adventure,Robert Zemeckis,1985,116,210609762,19000000,3230,732212,1007,8.5
Howard the Duck,Action,Willard Huyck,1986,110,16295774,35000000,3000,33669,350,4.6
The Clan of the Cave Bear,Adventure,Michael Chapman,1986,98,1953732,15000000,1351,4996,83,5.3
The Texas Chainsaw Massacre 2,Comedy,Tobe Hooper,1986,101,8025872,4700000,302,19234,417,5.5
Invaders from Mars,Horror,Tobe Hooper,1986,100,4884663,12000000,1661,5187,116,5.5
The Wraith,Action,Mike Marvin,1986,93,3500000,2700000,2319,10082,170,5.9
The Golden Child,Action,Michael Ritchie,1986,94,79817937,25000000,1044,39798,98,5.9
Legal Eagles,Comedy,Ivan Reitman,1986,116,49851591,40000000,2179,7900,50,5.9
9½ Weeks,Drama,Adrian Lyne,1986,112,6734844,17000000,711,29591,156,5.9
Jason Lives: Friday the 13th Part VI,Horror,Tom McLoughlin,1986,86,19472057,3000000,1862,25332,465,5.9
April Fool's Day,Horror,Fred Walton,1986,89,12947763,5000000,1160,10624,221,6.2
Peggy Sue Got Married,Comedy,Francis Ford Coppola,1986,103,41382841,18000000,14672,27149,140,6.3
She's Gotta Have It,Comedy,Spike Lee,1986,88,7137502,175000,708,4769,52,6.5
Top Gun,Action,Tony Scott,1986,110,176781728,15000000,13069,219171,561,6.9
Little Shop of Horrors,Comedy,Frank Oz,1986,102,38747385,25000000,15308,49349,228,6.9
The Color of Money,Drama,Martin Scorsese,1986,119,52293982,13800000,11895,57831,174,7
River's Edge,Crime,Tim Hunter,1986,99,4600000,1900000,19649,11763,156,7.1
Big Trouble in Little China,Action,John Carpenter,1986,99,11100000,25000000,896,92464,511,7.3
Star Trek IV: The Voyage Home,Adventure,Leonard Nimoy,1986,119,109713132,25000000,15449,61621,325,7.3
Stand by Me,Adventure,Rob Reiner,1986,89,52287414,8000000,644,271794,683,8.1
Aliens,Action,James Cameron,1986,154,85200000,18500000,4228,488537,1326,8.4
Jaws: The Revenge,Adventure,Joseph Sargent,1987,92,20763013,23000000,2355,30840,463,2.8
Teen Wolf Too,Comedy,Christopher Leitch,1987,95,7888703,3000000,1389,8465,94,3.2
Ishtar,Action,Elaine May,1987,107,14375181,51000000,3374,8692,175,4.2
American Ninja 2: The Confrontation,Action,Sam Firstenberg,1987,90,4000000,350000,872,6046,86,4.7
The Barbarians,Adventure,Ruggero Deodato,1987,87,800000,4000000,1700,2308,50,4.8
Malone,Action,Harley Cokeliss,1987,92,3060858,10000000,1891,1768,64,5.6
From a Whisper to a Scream,Action,Jeff Burr,1987,92,1400000,1100000,1329,1324,94,5.9
3 Men and a Baby,Comedy,Leonard Nimoy,1987,102,167780960,11000000,21499,36918,63,5.9
Prison,Crime,Renny Harlin,1987,102,354704,1300000,11083,2705,106,5.9
Creepshow 2,Comedy,Michael Gornick,1987,85,14000000,3500000,3617,15956,213,6
Beverly Hills Cop II,Action,Tony Scott,1987,100,153665036,28000000,4121,84824,145,6.4
A Nightmare on Elm Street 3: Dream Warriors,Action,Chuck Russell,1987,88,44793200,4500000,1584,49820,442,6.6
The Running Man,Action,Paul Michael Glaser,1987,101,38122105,27000000,2373,112669,346,6.6
La Bamba,Biography,Luis Valdez,1987,108,54215416,6500000,936,21409,81,6.8
Fatal Attraction,Drama,Adrian Lyne,1987,119,156645693,14000000,1639,55101,295,6.9
Hollywood Shuffle,Comedy,Robert Townsend,1987,81,5228617,100000,1431,2770,53,7
Spaceballs,Adventure,Mel Brooks,1987,96,38119483,22700000,2936,136667,376,7.1
"Good Morning, Vietnam",Biography,Barry Levinson,1987,121,123922370,13000000,50141,98348,193,7.3
Wall Street,Crime,Oliver Stone,1987,126,43848100,15000000,1607,119150,333,7.4
Radio Days,Comedy,Woody Allen,1987,88,14792779,16000000,1653,24256,155,7.6
Predator,Action,John McTiernan,1987,107,59735548,15000000,4223,290949,846,7.8
Evil Dead II,Comedy,Sam Raimi,1987,37,5923044,3600000,1347,113451,789,7.8
The Untouchables,Crime,Brian De Palma,1987,119,76270454,25000000,22767,219008,541,7.9
The Princess Bride,Adventure,Rob Reiner,1987,98,30857814,16000000,20060,294163,903,8.1
Poltergeist III,Horror,Gary Sherman,1988,98,14114488,10500000,3827,13190,180,4.5
Action Jackson,Action,Craig R. Baxley,1988,96,20257000,7000000,5282,7569,100,5.2
My Stepmother Is an Alien,Comedy,Richard Benjamin,1988,105,13854000,20000000,14677,21079,70,5.2
Friday the 13th Part VII: The New Blood,Horror,John Carl Buechler,1988,88,19170001,2800000,1855,21359,380,5.3
"Bright Lights, Big City",Drama,James Bridges,1988,107,16118077,25000000,3067,5817,65,5.6
Rambo III,Action,Peter MacDonald,1988,87,53715611,63000000,14574,92106,255,5.7
A Nightmare on Elm Street 4: The Dream Master,Fantasy,Renny Harlin,1988,99,49369900,7000000,450,36108,362,5.7
School Daze,Comedy,Spike Lee,1988,121,14545844,6500000,1284,4756,60,5.8
Halloween 4: The Return of Michael Myers,Horror,Dwight H. Little,1988,88,17768000,5000000,1136,29629,518,5.9
Twins,Comedy,Ivan Reitman,1988,107,111936400,15000000,2151,87538,106,6
Mystic Pizza,Comedy,Donald Petrie,1988,104,12793213,6000000,10430,18286,107,6.2
Phantasm II,Action,Don Coscarelli,1988,97,7282851,3000000,1395,9502,181,6.5
Child's Play,Fantasy,Tom Holland,1988,87,33244684,9000000,760,62038,423,6.5
Lady in White,Fantasy,Frank LaLoggia,1988,118,1705139,4700000,2545,4695,199,6.7
Bloodsport,Action,Newt Arnold,1988,92,11806119,1100000,1168,57578,271,6.8
Young Guns,Action,Christopher Cain,1988,107,44726644,13000000,1747,42614,170,6.8
Scrooged,Comedy,Richard Donner,1988,101,60328558,32000000,18734,61396,247,7
The Land Before Time,Adventure,Don Bluth,1988,69,48092846,12500000,1833,61753,157,7.3
Big,Comedy,Penny Marshall,1988,130,114968774,18000000,28018,153468,303,7.3
Talk Radio,Drama,Oliver Stone,1988,110,3468572,4000000,1966,10073,118,7.3
They Live,Horror,John Carpenter,1988,93,13008928,4000000,837,73501,505,7.3
Beetlejuice,Comedy,Tim Burton,1988,92,73326666,15000000,1953,189413,415,7.5
Midnight Run,Action,Martin Brest,1988,126,38413606,30000000,23866,54042,292,7.6
The Last Temptation of Christ,Drama,Martin Scorsese,1988,164,8373585,7000000,1934,39680,422,7.6
Dangerous Liaisons,Drama,Stephen Frears,1988,119,34700000,14000000,35501,52846,194,7.7
Rain Man,Drama,Barry Levinson,1988,133,172825435,25000000,12285,383784,431,8
Die Hard,Action,John McTiernan,1988,131,81350242,28000000,40585,592582,955,8.2
Friday the 13th Part VIII: Jason Takes Manhattan,Adventure,Rob Hedden,1989,100,14343976,5000000,1327,22961,420,4.5
The Toxic Avenger Part II,Action,Michael Herz,1989,96,792966,2300000,99,4663,89,5.1
A Nightmare on Elm Street 5: The Dream Child,Fantasy,Stephen Hopkins,1989,89,22168359,8000000,584,29659,315,5.1
Halloween 5,Horror,Dominique Othenin-Girard,1989,96,11642254,3000000,1308,22929,424,5.2
Star Trek V: The Final Frontier,Action,William Shatner,1989,107,55210049,27800000,14710,43743,391,5.4
Troop Beverly Hills,Adventure,Jeff Kanew,1989,105,8508843,18000000,2368,7470,46,5.5
We're No Angels,Comedy,Neil Jordan,1989,106,10555348,20000000,24887,17349,62,6
Warlock,Action,Steve Miner,1989,103,9094451,7000000,1990,11668,110,6.2
Tango & Cash,Action,Andrey Konchalovskiy,1989,97,63408614,55000000,14432,75365,194,6.3
New York Stories,Comedy,Woody Allen,1989,124,10763469,15000000,12685,13692,97,6.4
Road House,Action,Rowdy Herrington,1989,114,30050028,17000000,2484,42987,284,6.5
Black Rain,Action,Ridley Scott,1989,125,45645204,30000000,1748,39306,182,6.6
Pet Sematary,Fantasy,Mary Lambert,1989,103,57469179,11500000,2987,63855,346,6.6
Sea of Love,Crime,Harold Becker,1989,113,58571513,19000000,15914,30213,155,6.8
Bill & Ted's Excellent Adventure,Adventure,Stephen Herek,1989,90,40485039,10000000,20795,85362,262,6.9
UHF,Comedy,Jay Levey,1989,150,6157157,5000000,3942,21416,257,7
Born on the Fourth of July,Biography,Oliver Stone,1989,145,70001698,14000000,12098,76842,245,7.2
Major League,Comedy,David S. Ward,1989,107,49797148,11000000,3435,49007,154,7.2
"Sex, Lies, and Videotape",Drama,Steven Soderbergh,1989,100,24741700,1200000,1431,37785,153,7.2
Driving Miss Daisy,Comedy,Bruce Beresford,1989,99,106593296,7500000,12619,72324,195,7.4
Roger & Me,Documentary,Michael Moore,1989,91,6706368,160000,1048,22800,173,7.5
Batman,Action,Tim Burton,1989,126,251188924,35000000,2725,269033,1003,7.6
The Abyss,Adventure,James Cameron,1989,171,54222000,69500000,4074,131217,462,7.6
When Harry Met Sally...,Comedy,Rob Reiner,1989,89,92823600,16000000,485,149108,387,7.6
Back to the Future Part II,Adventure,Robert Zemeckis,1989,108,118500000,40000000,3660,340085,452,7.8
Do the Right Thing,Drama,Spike Lee,1989,120,27545445,6500000,2892,59524,521,7.9
Glory,Drama,Edward Zwick,1989,122,26830000,18000000,32930,101888,425,7.9
Glory,Drama,Edward Zwick,1989,122,26830000,18000000,32930,101889,425,7.9
Dead Poets Society,Comedy,Peter Weir,1989,128,95860116,16400000,51609,277451,587,8
Indiana Jones and the Last Crusade,Action,Steven Spielberg,1989,127,197171806,48000000,12884,515306,626,8.3
Spaced Invaders,Adventure,Patrick Read Johnson,1990,100,15369573,3000000,1441,2580,70,5.3
Child's Play 2,Fantasy,John Lafia,1990,72,28501605,13000000,2646,31371,225,5.7
Days of Thunder,Action,Tony Scott,1990,107,82670733,60000000,14006,60476,157,5.9
Kindergarten Cop,Action,Ivan Reitman,1990,111,91457688,26000000,2403,107801,155,6
Dick Tracy,Action,Warren Beatty,1990,105,103738726,100000000,2096,47819,236,6.1
Predator 2,Action,Stephen Hopkins,1990,103,30669413,35000000,4722,105478,410,6.2
The Adventures of Ford Fairlane,Action,Renny Harlin,1990,104,21413502,40000000,2795,14429,161,6.3
Arachnophobia,Comedy,Frank Marshall,1990,103,53133888,31000000,1440,50389,210,6.3
Gremlins 2: The New Batch,Comedy,Joe Dante,1990,106,41482207,50000000,19610,68428,253,6.3
Mo' Better Blues,Drama,Spike Lee,1990,129,16153600,10000000,19065,8295,53,6.5
Flatliners,Drama,Joel Schumacher,1990,115,61490000,26000000,10493,62037,197,6.6
Pretty Woman,Comedy,Garry Marshall,1990,125,178406268,14000000,11135,213476,353,6.9
Ghost,Drama,Jerry Zucker,1990,127,217631306,22000000,3100,154199,329,7
Die Hard 2,Action,Renny Harlin,1990,124,117541000,70000000,16595,269858,458,7.1
Tremors,Comedy,Ron Underwood,1990,96,16667084,11000000,3119,90070,380,7.1
Back to the Future Part III,Adventure,Robert Zemeckis,1990,118,87666629,40000000,3986,283480,374,7.4
Total Recall,Action,Paul Verhoeven,1990,113,119412921,65000000,1441,240241,587,7.5
Metropolitan,Comedy,Whit Stillman,1990,98,2938208,225000,173,7143,123,7.5
Home Alone,Comedy,Chris Columbus,1990,103,285761243,18000000,7521,311075,407,7.5
The Hunt for Red October,Action,John McTiernan,1990,135,122012643,30000000,2575,143696,345,7.6
The Godfather: Part III,Crime,Francis Ford Coppola,1990,170,66676062,54000000,16949,267980,655,7.6
Edward Scissorhands,Fantasy,Tim Burton,1990,105,56362352,20000000,42330,357581,699,7.9
Dances with Wolves,Adventure,Kevin Costner,1990,236,184208848,22000000,2398,186485,474,8
Goodfellas,Biography,Martin Scorsese,1990,146,46836394,25000000,24783,728685,1181,8.7
Beastmaster 2: Through the Portal of Time,Action,Sylvio Tabet,1991,107,869325,6000000,2000,2281,33,3.8
Freddy's Dead: The Final Nightmare,Comedy,Rachel Talalay,1991,93,34872293,8500000,42002,30765,343,4.9
Return to the Blue Lagoon,Adventure,William A. Graham,1991,102,2807854,11000000,14281,14129,53,5.1
House Party 2,Comedy,George Jackson,1991,94,19281235,5000000,2523,3571,23,5.1
Double Impact,Action,Sheldon Lettich,1991,110,30102717,15000000,874,28736,112,5.5
Flight of the Intruder,Action,John Milius,1991,115,14587732,35000000,1290,4795,52,5.7
Hudson Hawk,Action,Michael Lehmann,1991,100,17218080,70000000,15944,43376,309,5.7
Stone Cold,Action,Craig R. Baxley,1991,88,9286314,17000000,583,4972,89,5.9
Straight Out of Brooklyn,Crime,Matty Rich,1991,91,2712293,450000,380,475,19,5.9
Showdown in Little Tokyo,Action,Mark L. Lester,1991,79,2275557,8000000,2404,12561,147,6
Harley Davidson and the Marlboro Man,Action,Simon Wincer,1991,98,7434726,23000000,3671,14473,111,6
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Action,Michael Pressman,1991,88,78656813,25000000,2501,42765,161,6
Bill & Ted's Bogus Journey,Adventure,Peter Hewitt,1991,93,38037513,20000000,20188,49680,160,6.2
The Prince of Tides,Drama,Barbra Streisand,1991,132,74787599,30000000,1936,12549,139,6.6
White Fang,Adventure,Randal Kleiser,1991,107,34793160,14000000,552,15730,41,6.7
Hook,Adventure,Steven Spielberg,1991,142,119654900,70000000,64259,182802,438,6.7
My Girl,Comedy,Howard Zieff,1991,102,59847242,16500000,5433,55895,146,6.8
The Naked Gun 2½: The Smell of Fear,Comedy,David Zucker,1991,85,86930411,23000000,3847,83269,130,6.8
The Addams Family,Comedy,Barry Sonnenfeld,1991,99,113502246,38000000,3696,96607,180,6.8
Robin Hood: Prince of Thieves,Action,Kevin Reynolds,1991,155,165500000,48000000,38518,145257,389,6.9
Slacker,Comedy,Richard Linklater,1991,100,1227508,23000,5,15103,141,7.1
My Own Private Idaho,Drama,Gus Van Sant,1991,104,6401336,2500000,19923,36996,216,7.1
Star Trek VI: The Undiscovered Country,Action,Nicholas Meyer,1991,110,74888996,30000000,16230,55513,300,7.2
The Doors,Biography,Oliver Stone,1991,140,35183792,38000000,3044,68159,291,7.2
Cape Fear,Crime,Martin Scorsese,1991,128,79100000,35000000,24006,127503,381,7.3
The Fisher King,Comedy,Terry Gilliam,1991,137,41895491,24000000,12947,63274,254,7.6
Boyz n the Hood,Crime,John Singleton,1991,112,57504069,6000000,106,94139,247,7.8
Terminator 2: Judgment Day,Action,James Cameron,1991,153,204843350,102000000,2829,744891,1193,8.5
The Silence of the Lambs,Crime,Jonathan Demme,1991,138,130727000,19000000,13184,887467,1101,8.6
Boomerang,Comedy,Reginald Hudlin,1992,117,70100000,40000000,3841,20183,62,5.4
Memoirs of an Invisible Man,Comedy,John Carpenter,1992,99,14358033,40000000,2125,17365,106,5.9
Medicine Man,Adventure,John McTiernan,1992,106,45500797,40000000,519,17443,81,6
Raising Cain,Crime,Brian De Palma,1992,91,21370057,12000000,1852,9903,113,6
The Bodyguard,Action,Mick Jackson,1992,129,121945720,25000000,2551,89972,174,6.1
